Index,Type,Price,Profit
2010-06-01 00:01:00,Buy,1.22646,0
2010-06-01 00:02:00,Buy,1.22646,0
2010-06-01 00:03:00,Buy,1.22645,0
2010-06-01 00:04:00,Buy,1.22641,0
2010-06-01 00:05:00,Buy,1.22647,0
2010-06-01 00:06:00,Buy,1.22656,0
2010-06-01 00:07:00,Buy,1.22639,0
2010-06-01 00:08:00,Buy,1.22658,0
2010-06-01 00:09:00,Buy,1.2267,0
2010-06-01 00:10:00,Buy,1.227,0
2010-06-01 00:11:00,Close,1.22662,8.999999999993797
2010-06-01 00:12:00,Buy,1.2264,0
2010-06-01 00:13:00,Buy,1.2262,0
2010-06-01 00:14:00,Close,1.22632,-14.999999999985796
2010-06-01 00:15:00,Buy,1.22647,0
2010-06-01 00:16:00,Buy,1.22644,0
2010-06-01 00:17:00,Buy,1.22665,0
2010-06-01 00:18:00,Buy,1.22668,0
2010-06-01 00:19:00,Buy,1.22646,0
2010-06-01 00:20:00,Buy,1.22652,0
2010-06-01 00:21:00,Buy,1.22658,0
2010-06-01 00:22:00,Buy,1.22659,0
2010-06-01 00:23:00,Buy,1.22643,0
2010-06-01 00:24:00,Buy,1.22629,0
2010-06-01 00:25:00,Buy,1.22607,0
2010-06-01 00:26:00,Buy,1.22606,0
2010-06-01 00:27:00,Buy,1.2261,0
2010-06-01 00:28:00,Buy,1.22611,0
2010-06-01 00:29:00,Buy,1.22625,0
2010-06-01 00:30:00,Buy,1.22602,0
2010-06-01 00:31:00,Close,1.22585,-68.99999999998428
2010-06-01 00:32:00,Buy,1.22597,0
2010-06-01 00:33:00,Buy,1.22551,0
2010-06-01 00:34:00,Buy,1.22596,0
2010-06-01 00:35:00,Buy,1.22617,0
2010-06-01 00:36:00,Close,1.22606,1.9999999999923481
2010-06-01 00:37:00,Buy,1.22607,0
2010-06-01 00:38:00,Buy,1.22609,0
2010-06-01 00:39:00,Buy,1.22553,0
2010-06-01 00:40:00,Buy,1.22549,0
2010-06-01 00:41:00,Close,1.22513,-100.99999999999409
2010-06-01 00:42:00,Buy,1.22534,0
2010-06-01 00:43:00,Buy,1.22537,0
2010-06-01 00:44:00,Buy,1.22542,0
2010-06-01 00:45:00,Buy,1.22549,0
2010-06-01 00:46:00,Buy,1.22549,0
2010-06-01 00:47:00,Buy,1.22509,0
2010-06-01 00:48:00,Buy,1.22525,0
2010-06-01 00:49:00,Buy,1.22482,0
2010-06-01 00:50:00,Buy,1.22511,0
2010-06-01 00:51:00,Buy,1.22459,0
2010-06-01 00:52:00,Buy,1.22512,0
2010-06-01 00:53:00,Buy,1.22507,0
2010-06-01 00:54:00,Buy,1.22494,0
2010-06-01 00:55:00,Buy,1.22468,0
2010-06-01 00:56:00,Close,1.22491,-50.00000000001525
2010-06-01 00:57:00,Buy,1.22511,0
2010-06-01 00:58:00,Buy,1.22528,0
2010-06-01 00:59:00,Buy,1.22553,0
2010-06-01 01:00:00,Close,1.22539,21.000000000005798
2010-06-01 01:01:00,Buy,1.22531,0
2010-06-01 01:02:00,Buy,1.22501,0
2010-06-01 01:03:00,Buy,1.22481,0
2010-06-01 01:04:00,Buy,1.22518,0
2010-06-01 01:05:00,Buy,1.22531,0
2010-06-01 01:06:00,Buy,1.22548,0
2010-06-01 01:07:00,Buy,1.22537,0
2010-06-01 01:08:00,Close,1.22587,49.000000000011596
2010-06-01 01:09:00,Buy,1.22561,0
2010-06-01 01:10:00,Buy,1.22558,0
2010-06-01 01:11:00,Buy,1.22582,0
2010-06-01 01:12:00,Buy,1.22609,0
2010-06-01 01:13:00,Buy,1.22616,0
2010-06-01 01:14:00,Close,1.22603,34.99999999998649
2010-06-01 01:15:00,Buy,1.22566,0
2010-06-01 01:16:00,Buy,1.22562,0
2010-06-01 01:17:00,Buy,1.22582,0
2010-06-01 01:18:00,Buy,1.22581,0
2010-06-01 01:19:00,Buy,1.22593,0
2010-06-01 01:20:00,Buy,1.22612,0
2010-06-01 01:21:00,Buy,1.22636,0
2010-06-01 01:22:00,Buy,1.22603,0
2010-06-01 01:23:00,Buy,1.2262,0
2010-06-01 01:24:00,Buy,1.22613,0
2010-06-01 01:25:00,Buy,1.22618,0
2010-06-01 01:26:00,Buy,1.2261,0
2010-06-01 01:27:00,Buy,1.22641,0
2010-06-01 01:28:00,Buy,1.22604,0
2010-06-01 01:29:00,Buy,1.22596,0
2010-06-01 01:30:00,Buy,1.2262,0
2010-06-01 01:31:00,Buy,1.22648,0
2010-06-01 01:32:00,Buy,1.22667,0
2010-06-01 01:33:00,Buy,1.22659,0
2010-06-01 01:34:00,Buy,1.22641,0
2010-06-01 01:35:00,Buy,1.22613,0
2010-06-01 01:36:00,Buy,1.22606,0
2010-06-01 01:37:00,Buy,1.22573,0
2010-06-01 01:38:00,Buy,1.22588,0
2010-06-01 01:39:00,Buy,1.22583,0
2010-06-01 01:40:00,Buy,1.22577,0
2010-06-01 01:41:00,Buy,1.22569,0
2010-06-01 01:42:00,Buy,1.22557,0
2010-06-01 01:43:00,Buy,1.22557,0
2010-06-01 01:44:00,Buy,1.22537,0
2010-06-01 01:45:00,Buy,1.22498,0
2010-06-01 01:46:00,Buy,1.22521,0
2010-06-01 01:47:00,Buy,1.22528,0
2010-06-01 01:48:00,Buy,1.22528,0
2010-06-01 01:49:00,Close,1.22534,-38.999999999987594
2010-06-01 01:50:00,Buy,1.22531,0
2010-06-01 01:51:00,Buy,1.2255,0
2010-06-01 01:52:00,Buy,1.22559,0
2010-06-01 01:53:00,Buy,1.22578,0
2010-06-01 01:54:00,Buy,1.22561,0
2010-06-01 01:55:00,Buy,1.22561,0
2010-06-01 01:56:00,Buy,1.22556,0
2010-06-01 01:57:00,Buy,1.22564,0
2010-06-01 01:58:00,Close,1.22542,4.000000000005451
2010-06-01 01:59:00,Buy,1.22544,0
2010-06-01 02:00:00,Buy,1.22573,0
2010-06-01 02:01:00,Buy,1.2258,0
2010-06-01 02:02:00,Sell,1.22618,0
2010-06-01 02:03:00,Buy,1.22595,0
2010-06-01 02:04:00,Buy,1.22602,0
2010-06-01 02:05:00,Buy,1.2261,0
2010-06-01 02:06:00,Buy,1.22601,0
2010-06-01 02:07:00,Close,1.22612,61.00000000000139
2010-06-01 02:08:00,Buy,1.22641,0
2010-06-01 02:09:00,Buy,1.22679,0
2010-06-01 02:10:00,Buy,1.22691,0
2010-06-01 02:11:00,Buy,1.22685,0
2010-06-01 02:12:00,Close,1.22665,17.000000000001798
2010-06-01 02:13:00,Buy,1.22628,0
2010-06-01 02:14:00,Buy,1.22608,0
2010-06-01 02:15:00,Buy,1.22642,0
2010-06-01 02:16:00,Buy,1.22679,0
2010-06-01 02:17:00,Buy,1.22657,0
2010-06-01 02:18:00,Buy,1.22648,0
2010-06-01 02:19:00,Buy,1.22613,0
2010-06-01 02:20:00,Close,1.2262,-15.000000000008
2010-06-01 02:21:00,Buy,1.22566,0
2010-06-01 02:22:00,Buy,1.22546,0
2010-06-01 02:23:00,Close,1.22522,-50.999999999999595
2010-06-01 02:24:00,Buy,1.22515,0
2010-06-01 02:25:00,Buy,1.22533,0
2010-06-01 02:26:00,Close,1.22561,39.0000000000127
2010-06-01 02:27:00,Buy,1.2254,0
2010-06-01 02:28:00,Buy,1.22545,0
2010-06-01 02:29:00,Buy,1.22528,0
2010-06-01 02:30:00,Close,1.22565,17.999999999986144
2010-06-01 02:31:00,Sell,1.2255,0
2010-06-01 02:32:00,Buy,1.22548,0
2010-06-01 02:33:00,Buy,1.22567,0
2010-06-01 02:34:00,Buy,1.22557,0
2010-06-01 02:35:00,Buy,1.22501,0
2010-06-01 02:36:00,Close,1.22534,8.999999999993797
2010-06-01 02:37:00,Buy,1.22564,0
2010-06-01 02:38:00,Buy,1.22565,0
2010-06-01 02:39:00,Buy,1.22556,0
2010-06-01 02:40:00,Buy,1.22565,0
2010-06-01 02:41:00,Buy,1.22542,0
2010-06-01 02:42:00,Buy,1.22592,0
2010-06-01 02:43:00,Buy,1.22565,0
2010-06-01 02:44:00,Buy,1.22589,0
2010-06-01 02:45:00,Buy,1.22594,0
2010-06-01 02:46:00,Buy,1.22607,0
2010-06-01 02:47:00,Close,1.2258,8.999999999993797
2010-06-01 02:48:00,Buy,1.22601,0
2010-06-01 02:49:00,Buy,1.22576,0
2010-06-01 02:50:00,Close,1.22637,28.999999999991598
2010-06-01 02:51:00,Buy,1.22604,0
2010-06-01 02:52:00,Buy,1.22567,0
2010-06-01 02:53:00,Buy,1.22545,0
2010-06-01 02:54:00,Close,1.22569,-42.00000000000725
2010-06-01 02:55:00,Buy,1.22593,0
2010-06-01 02:56:00,Buy,1.22559,0
2010-06-01 02:57:00,Buy,1.22546,0
2010-06-01 02:58:00,Close,1.22561,-38.999999999987594
2010-06-01 02:59:00,Buy,1.22537,0
2010-06-01 03:00:00,Buy,1.22584,0
2010-06-01 03:01:00,Buy,1.22629,0
2010-06-01 03:02:00,Buy,1.22593,0
2010-06-01 03:03:00,Buy,1.22595,0
2010-06-01 03:04:00,Buy,1.22618,0
2010-06-01 03:05:00,Buy,1.2263,0
2010-06-01 03:06:00,Buy,1.22623,0
2010-06-01 03:07:00,Buy,1.2263,0
2010-06-01 03:08:00,Buy,1.22629,0
2010-06-01 03:09:00,Buy,1.22632,0
2010-06-01 03:10:00,Buy,1.22648,0
2010-06-01 03:11:00,Close,1.22654,109.99999999998934
2010-06-01 03:12:00,Buy,1.22643,0
2010-06-01 03:13:00,Buy,1.22645,0
2010-06-01 03:14:00,Buy,1.22627,0
2010-06-01 03:15:00,Buy,1.22631,0
2010-06-01 03:16:00,Buy,1.22621,0
2010-06-01 03:17:00,Buy,1.22599,0
2010-06-01 03:18:00,Buy,1.22605,0
2010-06-01 03:19:00,Buy,1.22616,0
